# language_name_wals:	Pirahã
# language_name_glotto:	Pirahã
# iso639_3:	myp
# year_composed:	ca. 1970
# year_published:	2015
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	For the special characters used in transcriptions see "Phonemic Transcription" at https://github.com/languageMIT/piraha.
# short_description:	A story told by a speaker named Tisahai and titled "Apibai goes, I stay". Story about a trip.
# source:	https://github.com/languageMIT/piraha/blob/master/corpus.txt, last accessed 05.08.2020.
# copyright_short:	CC-BY-SA-4.0 License
# copyright_long:	See https://github.com/languageMIT/piraha/blob/master/LICENSE.txt for the full license.
# sample_type:	whole
# comments:	The pdf source file for this story is named "06 APIBAI GOES, I STAY.pdf".

<line_6.1>	Xapibai ti xaogi aI aixi
<glossing>	Apibai_NNP 1_PRP foreign_woman_NN ??_IN stay_VB
<translation>	Apibai, I will stay with Linda.

<line_6.2>	hi gA-sai ioitAbi hi ab-iI-haI
<glossing>	3_PRP speak_VB-old_info Linda_NNP 3_PRP remain_VB-INTENT-REL_CERT
<translation>	Linda said, "She intends to stay."

<line_6.3>	hi oa-og-ab-i-sahaI ti ab-iI-haI
<glossing>	3_PRP delay_VB-want-DUR-transition_vowel-PROHIBITIVE 1_PRP remain_VB-INTENT-REL_CERT
<translation>	Don't delay, I will remain.

<line_6.4>	* abaxaI hoag-aI
<glossing>	* alone_RB come_VB-do
<translation>	Only you go.

<line_6.5>	hi oa-og-ab-i-saI
<glossing>	3_PRP delay_VB-want-DUR-DECL-old_info
<translation>	Don't delay!

<line_6.6>	* aibogiaI *-g-Ab-O-p-ai-ta-haA
<glossing>	* quickly_RB *-com-remain_VB-LOC-up-do-repetitive-COMPL_CERT
<translation>	Return quickly.

<line_6.7>	ti ab-iI-sai-Aaga
<glossing>	1_PRP remain_VB-INTENT-old_info-be
<translation>	I will remain here.

<line_6.8>	* ab-iI-haI
<glossing>	* remain_VB-INTENT-REL_CERT
<translation>	I intend to remain.

<line_6.9>	* xoi kaba *-O
<glossing>	* jungle_NN NEG_RB *-LOC
<translation>	I will not go there.

<line_6.10>	* ab-iI-haI
<glossing>	* remain_VB-INTENT-REL_CERT
<translation>	I intend to remain.

<line_6.11>	hi tai-kaA xaaga tiobAha
<glossing>	3_PRP heavy_JJ-?? be_VB child_NN
<translation>	The child is very heavy.

<line_6.12>	gIxa hi Ig i-hiab-i-koI
<glossing>	2_PRP 3_PRP com_IN proximate_VB-NEG-DECL-EMPH
<translation>	You don't carry the child.

<line_6.13>	* xaI ab-iI-haI
<glossing>	* thus_RB remain_VB-INTENT-REL_CERT
<translation>	Yes, I intend to remain.

<line_6.14>	hi gA-sai * soxoA hOi-koI
<glossing>	3_PRP speak_VB-old_info * already_RB move_VB-EMPH
<translation>	He The other Indian said, "O.K. let's go."

<line_6.15>	hi oa-og-ab-i-saI
<glossing>	3_PRP delay_VB-want-DUR-DECL-old_info
<translation>	Don't delay long.

<line_6.16>	* oA kaba-O
<glossing>	* go_VB NEG_RB-LOC
<translation>	I will not go there.

<line_6.17>	* ab-iIg-A
<glossing>	* remain_VB-continuative-COMPL_CERT
<translation>	I will remain.

<line_6.18>	ba hOxoi piai pio hoag-aAti
<glossing>	Maku_NNP Maku_NNP now_RB also_RB come_VB-IMPERATIVE
<translation>	The Maku Indian sail also be going.

<line_6.19>	* Xoi kaba *-O
<glossing>	* jungle_NN NEG_RB *-LOC
<translation>	I will not go there.

<line_6.20>	* ab-iI
<glossing>	* remain_VB-intent
<translation>	I intend to remain.

<line_6.21>	xaI isaitaOgi hi ah-A-p-i-so * io abOp-I
<glossing>	thus_RB Steve_NNP he_PRP go_VB-vertical-up-DECL-completive * also_RB return_VB-decl
<translation>	Well, when Steve goes, you go with his.

<line_6.22>	xaI * Xoi kaba *-O
<glossing>	thus_RB * jungle_NN NEG_RB *-LOC
<translation>	Yes, I will not go there.

<line_6.23>	* ab-iI-haI
<glossing>	* remain_VB-INTENT-REL_CERT
<translation>	I intend to remain.

<line_6.24>	i ab-aI-ta-I
<glossing>	1_PRP remain_VB-be-repetitive-DECL
<translation>	I am remaining.

<line_6.25>	* abaxaI hoi-iIg-A
<glossing>	* alone_RB move_VB-cont-DECL
<translation>	Only you go on.

<line_6.26>	* Xoi kaba *-O
<glossing>	* jungle_NN NEG_RB *-LOC
<translation>	I will not go there.

<line_6.27>	* ab-xiig-A
<glossing>	* remain_VB-cont-DECL
<translation>	I will still remain.

<line_6.28>	hi gA-sai ioitAbi * ab-iI-sai-xAaga
<glossing>	3_PRP speak_VB-old_info Linda_NNP * remain_VB-intent-old_info-be
<translation>	Linda said she will be staying.
